item_id,name,brand_raw,name_clean,info_category_0,info_category_1,info_category_2,info_category_3,sizing_size_user_friendly,size_bucket,is_private_label_inferred,url
2103273,"(3 pack) Zoup! Good, Really Good, Chicken Potpie Soup, Shelf-Stable, 16 oz",,,Food,Pantry,Soup & Chili,,,weight:16,False,https://www.walmart.com/ip/3-pack-Zoup-Good-Really-Good-Chicken-Potpie-Soup-Shelf-Stable-16-oz/15379114264
2256580,"Thgonwid 21.7*13.7 inch Indoor Vegan Leather Pouf, Light Brown (Comes with No Filler)",Thgonwid,,Home,Decor,Decorative Pillows & Throws,Throw Pillows,,,False,https://www.walmart.com/ip/Thgonwid-21-7-13-7-inch-Indoor-Vegan-Leather-Pouf-Light-Brown-Comes-with-No-Filler/900304308
2232496,"HART 140-Piece 1/4 and 3/8-inch Drive Mechanics Tool Set, Chrome Finish, SAE & Metric",HART,,Home Improvement,Tools,Hand Tools,Mechanics Tool Sets,,,False,https://www.walmart.com/ip/HART-140-Piece-1-4-and-3-8-inch-Drive-Mechanics-Tool-Set-Chrome-Finish-SAE-Metric/210740106
2072040,"UnMEAT Plant-Based Beef Stroganoff with Pasta, 15oz Can",,,Food,Pantry,Packaged meals & Side dishes,Packaged meals,15 oz,weight:15,False,https://www.walmart.com/ip/unMEAT-Plant-Based-Beef-Stroganoff-with-Pasta-15oz-Can/5601413626
2109371,"Somnr Transparent Electric Gear Train Toy, Music Light Rotating Toy Train with Battery Operated, Children's Birthday Gift Educational Gear Toy for Kids Toddlers",Somnr,,Toys,"Cars, RC, Drones & Trains",Trains & Train Sets,,,,False,https://www.walmart.com/ip/Transparent-Electric-Gear-Train-Toy-Music-Light-Rotating-Toy-Train-Battery-Operated-Children-s-Birthday-Gift-Educational-Gear-Toy-Kids-Toddlers/1903454030
376446,Rani Schezwan Chutney 8.8oz (250g) Glass Jar ~ No Colors | NON-GMO | Vegan | Gluten Friendly | Indian Origin (Indo-Chinese),RANI BRAND AUTHENTIC INDIAN PRODUCTS,,Food,International Food,AAPI Owned,Rani Brands,,weight:8.8,False,https://www.walmart.com/ip/Rani-Schezwan-Chutney-8-8oz-250g-Glass-Jar-No-Colors-NON-GMO-Vegan-Gluten-Friendly-Indian-Origin-Indo-Chinese/983881281
2119199,"5th Season Whole Oregano, 1.25 oz, Single Herbs & Spices for Mediterranean and Italian Cuisine",,,Food,Pantry,"Herbs, spices & seasoning mixes",Herbs,,weight:1.2,False,https://www.walmart.com/ip/5th-Season-Whole-Oregano-1-25-oz/36716801
2064229,"(3 pack) De La Cruz Arnica Salve Moisturizer for Cracked Skin, for Dry and Cracked Hands, Elbows and Feet, 2 oz Jar",,,Personal Care,Cold Weather Skincare,,,,weight:2,False,https://www.walmart.com/ip/3-pack-De-La-Cruz-Arnica-Salve-Moisturizer-for-Cracked-Skin-for-Dry-and-Cracked-Hands-Elbows-and-Feet-2-oz-Jar/5651917550
2092379,"Dry Mop Pads for Sweeper Heavy ,Thickening, 30 Count",Leemone,,Household Essentials,Cleaning Supplies,Mops,All Mops,,count:30,False,https://www.walmart.com/ip/Dry-Mop-Pads-for-Swiffer-Sweeper-Heavy-Thickening-30-Count/5967933658
2127492,"(2 pack) El Leoncito Chili Mango Tub, 16 oz",El Leoncito,,Food,Candy,Fruit Flavored & Sour Candy,Fruit Flavored Candy,,weight:16,False,https://www.walmart.com/ip/2-pack-El-Leoncito-Chili-Mango-Tub/14789707912
